time	pressure1	temp1	pressure2	temp2	accx	accy	accz	gyx	gyy	gyz	magx	magy	magz	hgax	hgay	hgaz	time_seconds	time_minutes	rolling_variance1	rolling_variance2
649086	1012.5	18.58	1004.5	19.74	-5.837	5.8011	-10.7368	88.1	249.8	137.8	127.5	-222.9	62.7	2.39	-0.48	-3.35	621.0600000000001	10.351	76.94907755100556	65.38922857138336
649106	1010.1	18.58	1005.5	19.74	-0.3507	5.6252	-10.1298	80.3	249.8	142.0	48.3	-234.9	72.3	-0.96	-4.79	-7.66	621.08	10.351333333333335	78.39579183671854	67.03428979586658
649126	1007.6	18.58	1001.6	19.74	1.8423	5.1822	-7.2999	60.6	249.8	159.4	-30.9	-244.5	83.1	3.83	-2.87	-10.06	621.1	10.351666666666667	78.94785714283996	67.88604489790393
649146	1003.0	18.58	996.8	19.74	2.5055	4.7932	-4.8806	21.9	249.8	173.2	-107.7	-227.7	82.5	1.92	-7.66	4.31	621.12	10.352	78.37277142855353	67.59856734688121
649166	1003.7	18.58	993.5	19.74	3.2094	4.5873	-3.4369	-40.3	249.8	167.6	-230.1	-237.3	58.5	-0.48	-1.92	5.27	621.14	10.352333333333332	77.87739183671609	67.05941224483895
649186	1003.8	18.58	993.2	19.74	3.7625	4.5753	-2.2051	-69.9	249.8	149.5	-287.7	-218.1	48.3	4.31	-11.97	0.0	621.16	10.352666666666666	77.36418367345006	66.73022040810329
649206	1007.1	18.58	992.0	19.74	4.5693	4.5514	-0.9122	-95.1	249.8	134.5	-309.3	-220.5	27.9	2.87	-7.66	4.31	621.1800000000001	10.353000000000002	77.22273061222458	66.39977142851072
649226	1004.2	18.58	990.2	19.74	5.1236	3.9732	1.3372	-125.9	249.8	127.2	-340.5	-215.7	18.9	0.96	-8.62	-3.83	621.2	10.353333333333333	76.64448979589736	66.31696326524525
649246	1002.1	18.58	991.9	19.74	5.1691	3.3686	2.5067	-169.4	249.8	123.1	-342.9	-203.7	-6.3	-3.35	2.87	-4.79	621.22	10.353666666666667	75.68722040814168	66.05626122442831
649266	1000.8	18.58	990.8	19.74	4.5226	2.1512	4.1276	-216.2	249.8	108.1	-314.1	-198.9	-20.7	-1.44	-8.14	2.87	621.24	10.354000000000001	74.84460816324328	66.0384693876936
649286	999.1	18.58	988.7	19.74	3.4572	1.5203	5.4899	-249.8	249.8	77.0	-282.9	-167.7	-42.9	-2.87	-1.92	19.63	621.26	10.354333333333333	74.24953469385525	66.44196326524526
649306	996.7	18.58	987.9	19.74	1.5862	1.2617	6.4308	-249.5	249.8	22.0	-232.5	-150.9	-51.3	1.92	-3.35	5.75	621.28	10.354666666666667	73.88964897956939	67.1330653060627
649326	994.6	18.58	987.6	19.74	0.2526	1.1636	6.9324	-249.8	249.8	-51.7	-162.9	-102.9	-62.1	-3.83	-1.92	5.75	621.3000000000001	10.355	74.15608571426333	67.87111836728833
649346	993.9	18.58	987.3	19.74	-1.6029	1.646	7.738	-249.8	249.8	-122.9	-71.7	-78.9	-66.3	3.83	-0.48	0.0	621.32	10.355333333333334	74.78377142854923	68.56264897953423
649366	994.4	18.58	987.2	19.74	-4.0306	1.6304	7.6483	-248.7	249.8	-172.8	-11.7	-35.7	-65.7	2.39	15.32	10.06	621.34	10.355666666666668	74.9388122448758	69.29877551014754
649386	997.2	18.58	987.9	19.74	-5.1164	1.4198	6.7253	-196.7	249.8	-195.6	53.1	2.7	-58.5	-1.92	9.1	10.53	621.36	10.356	74.6618816326308	69.76183265300537
649406	993.6	18.58	988.1	19.74	-6.2716	1.1444	5.8131	-133.8	249.8	-194.3	120.3	29.1	-51.9	0.0	4.31	11.97	621.38	10.356333333333334	75.02577959181455	70.01456734688328
649426	993.3	18.58	987.2	19.74	-7.4747	1.0439	4.8267	-71.3	249.8	-180.9	170.7	69.9	-41.1	-6.22	3.83	-2.87	621.4	10.356666666666666	75.75530204079439	70.6162285713739
649446	993.8	18.58	987.2	19.74	-8.333	0.9565	3.6176	-18.0	249.8	-156.7	213.9	103.5	-17.7	-1.92	9.58	1.44	621.42	10.357	76.77551020406007	71.46934285708954
649466	994.7	18.58	987.4	19.74	-10.3848	-0.6177	1.3455	23.2	249.8	-125.1	242.7	105.9	-7.5	-25.38	19.63	20.59	621.44	10.357333333333335	76.80558775508045	72.34705714280537
649486	1002.3	18.58	995.9	19.74	-12.7778	-14.9039	-0.0311	120.2	229.9	66.3	254.7	132.3	20.7	-2.39	-3.35	4.31	621.46	10.357666666666667	75.07426938773268	71.33151428565945
649506	992.9	18.58	987.6	19.74	-7.4843	2.1344	-1.4868	117.2	187.5	91.1	252.3	113.1	25.5	-2.87	6.22	5.27	621.48	10.358	75.3680163265083	71.62716734688436
649526	994.3	18.58	988.5	19.74	-7.9846	1.2438	-1.8292	92.3	209.3	85.5	278.7	98.7	28.5	-6.22	11.49	-11.97	621.5	10.358333333333333	74.9467918367123	71.81707755096627
649546	995.1	18.58	988.6	19.74	-8.3294	1.1037	-2.4026	75.3	226.9	76.7	259.5	96.3	27.3	-2.39	10.06	11.97	621.52	10.358666666666666	74.73053469385508	71.93652653055828
649566	995.6	18.58	989.7	19.74	-8.1403	1.1097	-3.474	66.1	244.8	68.1	273.9	89.1	39.3	-4.79	12.45	-3.83	621.54	10.359	73.79864897956908	71.82932244892544
649586	993.2	18.58	989.2	19.74	-7.6746	1.0798	-4.118	55.7	249.8	59.6	259.5	81.9	41.7	-1.92	10.53	3.35	621.5600000000001	10.359333333333334	73.98083265303852	71.82932244892544
649606	993.6	18.58	988.5	19.74	-7.1263	1.148	-5.0673	45.4	249.8	49.9	247.5	91.5	51.9	1.44	6.7	2.87	621.58	10.359666666666667	74.34948979589579	71.82932244892544
649626	994.5	18.58	988.0	19.74	-6.3686	1.2773	-5.8945	35.4	249.8	40.0	254.7	77.1	65.1	-3.35	6.7	-11.97	621.6	10.360000000000001	74.83402448977353	72.10531020402789
649646	993.1	18.58	988.1	19.74	-5.0446	1.3084	-6.8175	23.2	249.8	20.3	242.7	89.1	71.7	-0.48	4.31	6.7	621.62	10.360333333333333	75.08713877548786	72.15824081627284
649666	994.0	18.58	988.1	19.74	-5.0901	1.4281	-7.0533	11.5	249.8	-0.4	209.1	89.1	71.1	-0.96	2.87	11.49	621.64	10.360666666666667	75.37524897956956	72.31193877545674
649686	994.9	18.58	988.8	19.74	-4.6076	1.6556	-7.7835	2.6	249.8	-9.6	199.5	86.7	84.9	-4.31	6.22	-10.53	621.66	10.360999999999999	75.46379183671247	72.07944489790539
649706	995.8	18.58	989.2	19.74	-3.8163	0.9804	-8.4443	-4.3	249.8	-9.8	175.5	93.9	92.1	-8.62	-6.22	0.48	621.6800000000001	10.361333333333334	75.11652653058992	71.72504489790485
649726	996.1	18.58	988.7	19.74	-2.7665	1.0175	-8.4096	-6.9	249.8	-0.2	144.3	81.9	108.3	-1.44	1.92	-12.93	621.7	10.361666666666668	74.75226122446733	71.79683673463965
649746	995.7	18.58	989.3	19.74	-1.4353	0.8703	-9.1554	-8.6	249.8	18.5	115.5	115.5	105.9	-7.18	-5.27	-2.87	621.72	10.362	75.1911224489573	72.29028979586532
649766	997.4	18.58	989.2	19.74	-0.5112	0.2251	-9.7085	-13.4	249.8	35.7	67.5	96.3	105.3	-6.7	-1.44	-14.84	621.74	10.362333333333334	74.81848571426326	72.59265714280467
649786	996.8	18.58	989.3	19.74	0.0826	0.0539	-10.4315	-19.5	249.8	46.6	21.9	93.9	114.9	-4.31	-11.49	-6.22	621.76	10.362666666666666	73.77462857140576	72.22047346933472
649806	998.8	18.58	990.1	19.74	1.306	0.0515	-11.0923	-27.2	249.8	50.1	-4.5	98.7	105.9	-3.83	1.92	0.48	621.78	10.363	73.9669428571206	72.22047346933472
649826	997.7	18.58	990.2	19.74	2.8383	-0.4645	-11.6801	-42.7	249.8	39.5	-78.9	86.7	110.7	-3.35	-1.44	-4.31	621.8000000000001	10.363333333333335	74.00214285712153	72.50958775504978
649846	997.8	18.58	990.8	19.74	11.4215	-0.504	-27.6194	-19.7	249.8	28.0	-105.3	69.9	117.3	-16.28	-8.62	29.21	621.82	10.363666666666667	73.52795510202063	71.97979183668618
649866	995.4	18.58	989.5	19.74	3.9265	-1.8938	0.1676	-15.0	249.8	16.4	-148.5	72.3	111.3	-4.79	-7.18	12.45	621.84	10.364	72.36155510202235	72.07673469383242
649886	995.2	18.58	989.7	19.74	6.2907	-1.2617	-9.9467	-20.3	249.8	-11.8	-172.5	77.1	111.3	-1.92	-4.79	0.0	621.86	10.364333333333333	70.90081632651392	71.64120816322419
649906	996.9	18.58	989.7	19.74	6.4811	-0.8236	-7.914	-19.1	249.8	-38.2	-210.9	62.7	108.9	-0.48	-13.89	1.92	621.88	10.364666666666666	68.10524081631164	68.76948979588349
649926	993.9	18.58	988.6	19.74	6.8127	-0.1867	-7.1778	-13.7	249.8	-65.2	-232.5	53.1	104.1	-7.18	-13.41	-4.79	621.9	10.365	64.51012653059968	66.06787346935937
649946	996.2	18.58	989.0	19.74	6.9539	0.3867	-7.1203	0.1	232.8	-86.4	-261.3	45.9	93.3	-0.96	-8.62	5.27	621.92	10.365333333333332	60.18581632652012	61.90493469385631
649966	996.7	18.58	987.7	19.74	7.0964	0.7889	-7.4352	20.0	210.9	-97.9	-282.9	57.9	92.7	-2.87	-16.76	-3.83	621.94	10.365666666666668	53.837730612236705	54.89187346937566
649986	997.9	18.58	988.5	19.74	7.2089	0.9457	-8.4264	42.0	190.6	-98.2	-304.5	24.3	87.9	-1.44	-7.66	-17.72	621.96	10.366000000000001	48.18713877550393	46.61053469387458
650006	997.9	18.58	988.5	19.73	8.1463	1.1049	-8.2025	59.6	171.8	-90.3	-309.3	29.1	84.3	0.96	-13.89	-4.79	621.98	10.366333333333333	42.26316734693444	37.851122448985706
650026	1000.4	18.58	989.9	19.73	8.5928	1.1133	-8.1044	70.3	151.8	-77.4	-316.5	17.1	86.7	-0.96	-18.2	0.0	622.0	10.366666666666667	35.3840816326505	29.457208163279542
650046	999.9	18.58	989.5	19.73	8.6837	0.9601	-7.8793	77.4	131.4	-64.6	-326.1	17.1	78.3	-1.92	-8.14	-9.1	622.02	10.366999999999999	27.36017959183619	22.24622040818501
650066	1000.7	18.58	989.0	19.73	8.6658	0.826	-7.3873	83.3	111.4	-52.8	-347.7	14.7	72.3	-0.96	-0.96	-16.28	622.04	10.367333333333333	21.38117959183783	16.227873469416433
