time,pressure1,temp1,pressure2,temp2,accx,accy,accz,gyx,gyy,gyz,magx,magy,magz,hgax,hgay,hgaz,time_seconds,time_minutes
1014131,1006.1,10.69,992.2,10.53,13.2698,1.0451,7.7344,105.2,-168.4,31.5,-186.9,-458.1,-254.1,-4.79,-11.97,23.46,0.08,0.0013333333333333333
1014151,1003.0,10.69,991.8,10.53,11.9159,0.9481,6.3099,96.4,-188.1,63.4,-208.5,-460.5,-241.5,-0.48,-0.96,23.46,0.1,0.0016666666666666668
1014171,999.8,10.69,990.4,10.53,10.6901,1.0475,5.0829,80.4,-204.8,88.2,-196.5,-465.3,-236.7,-0.48,-11.01,30.17,0.12,0.002
1014191,998.1,10.69,988.6,10.53,10.0999,1.1289,3.5674,68.2,-220.1,118.4,-215.7,-438.9,-231.9,-2.87,-1.44,37.35,0.14,0.0023333333333333335
1014211,995.2,10.69,984.9,10.53,9.3362,0.741,2.1979,59.2,-234.6,141.1,-220.5,-417.3,-224.7,3.35,-10.53,9.58,0.16,0.0026666666666666666
1014231,993.6,10.69,984.2,10.53,8.3773,0.261,0.7817,50.0,-249.2,152.8,-225.3,-407.7,-213.3,-2.39,-9.1,7.66,0.18,0.003
1014251,991.7,10.69,982.3,10.53,7.1239,-0.2454,-0.0215,37.5,-249.7,158.0,-222.9,-388.5,-201.9,-7.18,-15.8,1.92,0.2,0.0033333333333333335
1014271,989.7,10.69,981.5,10.53,6.2584,-0.425,-1.0092,24.0,-249.8,150.3,-234.9,-362.1,-193.5,-1.92,-4.79,17.72,0.22,0.0036666666666666666
1014291,988.9,10.69,981.4,10.53,5.0386,-0.4525,-1.901,7.6,-249.8,135.7,-210.9,-333.3,-175.5,-3.83,7.18,18.67,0.24,0.004
1014311,989.0,10.69,980.3,10.53,3.9193,-0.4896,-2.3954,-11.6,-249.8,123.4,-196.5,-302.1,-165.3,-6.7,6.7,21.55,0.26,0.004333333333333333
1014331,988.1,10.69,981.4,10.53,2.9892,-0.2454,-2.8659,-25.6,-249.8,119.1,-174.9,-294.9,-173.7,1.92,-0.96,7.66,0.28,0.004666666666666667
1014351,986.1,10.69,981.0,10.53,2.3391,0.0778,-3.067,-34.5,-249.8,119.4,-158.1,-268.5,-156.9,-4.79,4.79,13.41,0.3,0.005
1014371,988.5,10.69,981.4,10.53,1.7238,0.3687,-3.1903,-39.8,-249.8,124.7,-143.7,-251.7,-144.3,-0.48,1.44,11.97,0.32,0.005333333333333333
1014391,988.3,10.69,980.6,10.53,1.0834,0.5363,-3.2597,-43.8,-249.8,135.1,-112.5,-251.7,-136.5,0.48,-3.83,5.27,0.34,0.005666666666666667
1014411,987.3,10.69,980.6,10.53,0.6117,0.6213,-3.5626,-44.6,-249.8,146.6,-74.1,-227.7,-126.3,-3.83,8.14,22.03,0.36,0.006
1014431,987.4,10.69,980.7,10.53,0.0335,0.6776,-3.5231,-44.0,-249.8,158.3,-35.7,-227.7,-125.1,6.7,11.49,22.98,0.38,0.006333333333333333
1014451,986.5,10.69,980.8,10.53,-0.7446,0.7254,-3.4656,-41.8,-249.8,168.0,-4.5,-210.9,-114.9,0.96,-4.31,10.53,0.4,0.006666666666666667
1014471,986.5,10.68,980.8,10.53,-1.5586,0.6943,-3.0287,-33.0,-249.8,178.7,60.3,-222.9,-109.5,-5.75,-3.83,20.59,0.42,0.007
1014491,985.9,10.68,980.5,10.53,-1.877,0.7434,-2.6731,-19.0,-249.8,181.6,93.9,-222.9,-118.5,0.48,6.7,8.14,0.44,0.007333333333333333
1014511,986.3,10.68,979.6,10.53,-2.4541,0.7793,-2.2745,0.5,-249.8,178.3,151.5,-232.5,-120.3,-5.27,5.27,17.24,0.46,0.007666666666666667
1014531,985.9,10.68,980.2,10.53,-2.2984,0.8703,-2.642,23.3,-249.8,169.2,158.7,-227.7,-123.3,0.48,9.58,21.07,0.48,0.008
1014551,985.4,10.68,980.4,10.53,-2.2841,1.1684,-4.537,48.1,-249.8,157.6,211.5,-227.7,-119.7,-1.92,-2.39,7.18,0.5,0.008333333333333333
1014571,986.1,10.68,979.8,10.53,-3.954,1.3898,-7.2005,76.9,-249.8,142.9,249.9,-244.5,-122.7,-48.84,45.49,-22.98,0.52,0.008666666666666666
1014591,990.5,10.68,988.7,10.53,-23.4511,-19.9377,-34.3256,249.8,-55.1,-2.6,276.3,-215.7,-120.3,-4.31,11.49,27.77,0.54,0.009000000000000001
1014611,986.0,10.68,981.1,10.53,-3.7912,3.3411,-6.8833,247.4,195.7,-75.0,261.9,-167.7,-129.9,4.79,6.7,-22.51,0.56,0.009333333333333334
1014631,990.8,10.68,981.1,10.53,-11.0995,-11.5185,-6.4955,237.0,249.8,76.2,228.3,-129.3,-125.7,-8.62,-4.79,26.34,0.58,0.009666666666666665
1014651,991.5,10.68,984.6,10.53,-2.0111,-1.6903,-6.1411,54.9,248.6,245.3,180.3,-129.3,-123.3,2.87,5.75,7.18,0.6,0.01
1014671,988.2,10.68,984.8,10.53,-1.8507,0.2693,-4.5238,-23.1,249.8,226.5,105.9,-112.5,-120.3,-3.83,6.7,3.35,0.62,0.010333333333333333
1014691,988.5,10.68,983.8,10.53,-1.3623,-0.9864,-5.8742,-85.9,249.8,204.6,45.9,-131.7,-119.7,1.92,10.06,16.76,0.64,0.010666666666666666
1014711,988.3,10.68,985.8,10.53,6.0884,-4.391,-13.5248,-137.2,249.8,159.6,-21.3,-131.7,-126.9,-21.07,5.27,7.18,0.66,0.011000000000000001
1014731,995.3,10.68,986.8,10.53,5.9987,-4.215,-6.4272,-33.7,249.8,159.2,-69.3,-136.5,-140.7,-9.58,-15.8,1.92,0.68,0.011333333333333334
1014751,989.3,10.68,985.3,10.53,7.4663,-5.8574,-3.5901,-75.9,249.8,112.7,-119.7,-150.9,-162.9,-6.22,4.31,6.7,0.7000000000000001,0.011666666666666667
1014771,991.6,10.68,986.1,10.53,9.9144,-6.8546,-3.0227,-90.3,249.8,52.1,-150.9,-138.9,-170.1,-7.18,-0.48,12.93,0.72,0.012
1014791,997.2,10.68,990.6,10.53,13.7044,-20.6392,-1.6819,-81.1,249.8,-7.7,-170.1,-136.5,-194.1,-29.69,-11.01,65.6,0.74,0.012333333333333333
1014831,1002.8,10.68,983.2,10.53,6.8187,-9.0884,17.079,-162.9,249.8,-141.4,-182.1,-165.3,-207.9,-4.79,-1.44,32.08,0.78,0.013000000000000001
1014891,997.2,10.68,993.0,10.53,1.6664,1.4724,8.4862,108.3,249.8,-245.9,-136.5,-258.9,-258.3,2.87,5.75,6.22,0.84,0.014
