time	pressure1	temp1	pressure2	temp2	accx	accy	accz	gyx	gyy	gyz	magx	magy	magz	hgax	hgay	hgaz	time_seconds	time_minutes	rolling_variance1	rolling_variance2
448727	1033.7	20.16	1040.8	21.82	-1.5347	-18.4269	4.3814	-150.8	246.4	52.6	-201.3	221.1	135.3	-4.31	0.48	-18.67	402.24	6.704	39.7128530612635	58.60237142856986
448747	1000.0	20.16	1012.8	21.82	-1.0175	-1.2246	-5.1822	-158.5	233.4	61.0	-218.1	199.5	138.3	-9.1	1.44	17.72	402.26	6.7043333333333335	40.8123469388176	66.66040816326182
448767	997.6	20.16	1009.0	21.82	-2.15	-2.7497	-3.6404	-206.8	231.7	48.2	-234.9	189.9	140.7	-3.35	-4.31	1.44	402.28000000000003	6.704666666666667	41.332800000043584	71.55546530611737
448787	998.0	20.16	1003.2	21.82	-2.9293	-0.3771	-3.2621	-249.8	227.9	7.7	-246.9	151.5	144.9	3.83	-0.48	4.79	402.3	6.705	41.918942857188185	73.27142857142245
448807	998.4	20.16	1001.0	21.82	-1.3563	3.1927	-5.2984	-249.5	226.9	-27.3	-273.3	125.1	144.3	2.39	-0.48	-3.35	402.32	6.705333333333333	42.56273061229218	74.16563673468688
448827	993.9	20.16	1012.9	21.82	0.9445	3.705	-8.9327	-249.8	227.5	-33.2	-302.1	84.3	147.9	0.96	-1.92	-5.27	402.34000000000003	6.7056666666666676	42.57149387759889	81.18989795917476
448847	996.0	20.16	1005.4	21.82	2.1392	3.7134	-10.4136	-249.8	226.9	-22.3	-340.5	38.7	142.5	6.22	-0.48	7.66	402.36	6.706	42.751738775559325	83.28563673468364
448867	998.8	20.16	998.6	21.82	2.7617	2.4457	-10.4387	-249.8	225.9	-14.8	-354.9	-2.1	140.7	4.31	-0.48	-2.87	402.38	6.706333333333333	43.4246693878063	83.11969387754002
448887	1001.4	20.16	995.3	21.82	3.0107	2.1416	-10.6278	-239.1	222.2	-20.9	-388.5	-45.3	129.9	2.87	-8.14	4.79	402.40000000000003	6.706666666666667	44.764853061278764	82.67355510202935
448907	1000.0	20.16	994.6	21.82	3.6691	2.1727	-9.0836	-194.4	217.3	-30.7	-398.1	-62.1	132.9	1.92	-4.79	6.7	402.42	6.707	45.62675918373034	82.07924897957992
448927	998.3	20.16	994.7	21.82	3.9301	2.2206	-8.515	-158.5	211.5	-28.1	-434.1	-78.9	129.9	1.44	-1.44	6.7	402.44	6.707333333333334	46.066208163324134	81.50659591835499
448947	997.2	20.16	992.5	21.82	4.2509	3.2908	-7.179	-122.3	205.0	-20.8	-431.7	-102.9	122.1	0.96	-6.22	2.87	402.46000000000004	6.707666666666667	46.23097551026479	80.95959183672204
448967	995.4	20.16	991.5	21.82	3.3507	3.2298	-6.4428	-83.0	198.5	-5.8	-453.3	-110.1	108.3	5.75	-2.39	11.01	402.48	6.708	46.20847346944966	80.46010204080345
448987	993.7	20.16	991.2	21.82	2.7976	2.5726	-5.8335	-40.2	193.4	11.5	-465.3	-122.1	109.5	-2.87	-2.87	11.01	402.5	6.708333333333333	46.13838367353186	80.14754693876249
449007	993.2	20.16	990.6	21.82	2.9568	1.9812	-4.7968	4.5	188.5	29.5	-472.5	-131.7	104.7	6.22	3.35	23.94	402.52	6.708666666666667	46.142534693939744	80.10914693876246
449027	992.9	20.16	990.6	21.82	3.0406	1.6975	-4.0258	45.2	183.0	50.3	-496.5	-119.7	101.1	-1.44	-1.44	17.72	402.54	6.7090000000000005	46.13020408169495	80.09013877549714
449047	992.7	20.16	989.4	21.82	3.8654	1.5179	-3.1172	79.2	176.5	73.7	-508.5	-105.3	102.3	0.96	1.92	5.75	402.56	6.709333333333333	46.103367347001225	80.15938367345636
449067	992.0	20.16	989.8	21.82	4.4293	1.658	-2.5378	106.0	167.8	101.5	-522.9	-98.1	87.9	-0.96	-3.35	0.96	402.58	6.709666666666666	46.088085714348225	80.20264897957884
449087	991.6	20.16	989.6	21.82	4.8447	1.6879	-1.9237	122.9	157.2	127.5	-537.3	-78.9	92.7	-0.48	-6.7	23.94	402.6	6.71	46.003775510266834	80.39142857141564
449107	991.0	20.16	989.7	21.82	5.43	1.4748	-1.0211	131.9	145.1	151.6	-549.3	-62.1	86.7	-2.39	-2.87	10.53	402.62	6.710333333333334	45.98016734700159	80.43533061223197
449127	991.0	20.16	988.9	21.82	6.0142	1.0654	-0.3436	135.7	131.8	179.0	-561.3	-28.5	86.1	-0.48	-6.22	30.65	402.64	6.710666666666667	45.813342857206045	80.71275102039534
449147	990.8	20.16	989.5	21.82	6.3674	1.1779	0.1532	136.6	117.5	207.0	-573.3	2.7	81.9	0.96	-7.18	8.62	402.66	6.711	45.701473469451194	80.7800857142729
449167	989.2	20.16	989.8	21.82	7.1407	1.1121	0.1448	134.8	100.7	222.0	-561.3	36.3	75.9	0.96	-9.58	17.72	402.68	6.711333333333333	45.92547346945074	80.75805714284435
449187	989.0	20.16	990.0	21.82	7.5345	0.8751	0.2071	132.7	79.5	226.4	-573.3	72.3	77.1	3.83	-8.14	26.34	402.7	6.711666666666667	45.98244897965472	80.64779183672185
449207	990.3	20.16	989.3	21.82	7.6878	0.8811	0.231	125.9	61.5	224.5	-568.5	96.3	79.5	-2.39	-9.58	11.49	402.72	6.712000000000001	45.967955102103744	80.64779183672185
449227	990.0	20.16	989.4	21.82	7.5034	0.7099	0.3472	109.4	41.3	214.4	-546.9	120.3	68.7	-4.31	-3.83	24.9	402.74	6.7123333333333335	46.078779591899405	80.8021061224362
449247	989.5	20.16	989.7	21.82	7.3454	0.5938	0.6955	86.3	22.9	201.3	-544.5	151.5	80.7	0.0	-1.44	11.49	402.76	6.712666666666666	46.19103673475633	81.03877551019139
449267	988.8	20.16	989.9	21.82	6.9863	0.4585	0.9397	59.6	4.0	178.9	-527.7	175.5	71.7	-1.44	-8.62	18.67	402.78000000000003	6.713	46.389081632715175	81.1591183673343
449287	988.9	20.16	989.7	21.82	6.924	-0.9481	0.4609	34.5	-15.4	145.9	-520.5	199.5	72.9	-8.14	-11.97	11.97	402.8	6.713333333333334	46.566224489857724	81.41089387753848
449307	989.6	20.16	989.9	21.82	7.5477	-4.4831	-0.565	16.5	-37.5	101.8	-515.7	204.3	75.9	-8.14	-7.18	17.72	402.82	6.713666666666667	46.687759183735025	81.76326530611009
449327	990.2	20.16	990.2	21.82	8.9567	-7.0294	-1.2833	5.0	-58.9	66.2	-508.5	211.5	71.7	-51.71	-15.8	33.52	402.84000000000003	6.714	46.59420816332704	81.98490204080406
449347	996.6	20.16	992.6	21.82	18.2498	-37.1615	-3.3698	-19.1	-169.5	-49.3	-508.5	218.7	77.1	-6.22	-3.35	17.24	402.86	6.714333333333333	46.37773061230888	81.83668979590598
449367	992.5	20.16	990.8	21.82	6.171	0.2729	-1.391	-66.2	-249.8	-127.8	-513.3	211.5	87.9	0.48	-8.14	11.49	402.88	6.714666666666667	46.12382040822801	81.9888530612122
449387	990.0	20.16	990.5	21.82	7.2377	-3.881	-3.1472	-72.0	-249.4	-142.2	-508.5	204.3	89.7	-0.96	-4.31	11.49	402.90000000000003	6.715000000000001	46.21222857149314	82.04230204080405
449407	991.7	20.16	990.2	21.82	6.5565	-2.9628	-4.1958	-87.7	-249.8	-164.3	-491.7	182.7	106.5	-3.83	-3.35	9.1	402.92	6.715333333333334	45.99913877557531	82.1695877550898
449427	991.4	20.16	990.6	21.82	5.9651	-2.2853	-5.0446	-114.4	-249.8	-184.6	-484.5	165.9	110.1	-0.96	-3.83	11.97	402.94	6.7156666666666665	45.689795918433106	82.20465714284491
449447	992.0	20.16	990.3	21.82	5.3774	-1.2486	-5.7616	-153.2	-249.8	-196.0	-467.7	134.7	117.3	-0.96	-6.22	11.97	402.96000000000004	6.716	45.44489795925006	82.2602612244776
449467	992.0	20.19	990.3	21.81	4.6148	-0.2442	-6.3949	-195.6	-249.8	-193.4	-453.3	120.3	129.9	0.0	-0.96	-5.27	402.98	6.716333333333334	45.19673469394457	82.31579183672252
449487	992.1	20.19	990.9	21.81	3.5949	0.8966	-7.0186	-236.3	-249.8	-177.8	-414.9	69.9	134.7	0.96	-4.31	5.75	403.0	6.716666666666667	44.80953469394544	82.18896326529392
449507	992.9	20.19	990.2	21.81	2.6887	2.1284	-7.9942	-249.8	-249.8	-150.4	-376.5	36.3	148.5	3.35	-2.39	2.87	403.02	6.717	44.55535102047684	82.18896326529392
449527	993.9	20.19	991.9	21.81	1.64	3.0334	-8.9543	-249.7	-249.8	-114.4	-340.5	-2.1	146.7	8.62	5.27	-3.35	403.04	6.717333333333333	44.213506122518865	82.12057551019184
449547	993.1	20.19	992.6	21.81	0.559	3.5733	-9.7037	-249.8	-249.8	-71.8	-290.1	-42.9	142.5	1.44	-3.83	8.14	403.06	6.717666666666667	43.903265306193276	81.92643265304885
449567	995.0	20.19	994.3	21.81	-1.1947	4.142	-10.5369	-246.6	-249.8	-30.6	-258.9	-78.9	135.9	4.79	4.31	1.44	403.08	6.718	43.61030612252125	81.79420816325278
449587	996.2	20.19	995.3	21.81	-2.5809	4.1839	-10.8505	-206.4	-249.8	0.3	-203.7	-107.7	132.3	1.44	4.79	2.39	403.1	6.718333333333334	43.4592857143596	81.69644489794645
449607	995.3	20.19	996.1	21.81	-4.3778	4.3096	-10.5201	-159.9	-249.8	21.3	-172.5	-131.7	129.9	4.31	5.75	-4.31	403.12	6.718666666666667	43.34169795925861	81.70702448978307
449627	996.0	20.19	996.7	21.81	-6.11	4.5981	-9.5696	-113.8	-249.8	29.2	-150.9	-150.9	114.9	7.18	5.75	1.44	403.14	6.718999999999999	43.33755510211668	81.63337142855865
449647	996.5	20.19	998.1	21.81	-7.185	4.7202	-8.1415	-73.8	-249.8	22.7	-110.1	-167.7	123.3	2.39	6.22	8.14	403.16	6.719333333333334	43.38114693885233	81.5952040816199
449667	995.6	20.19	998.8	21.81	-7.9356	4.7058	-7.0174	-41.4	-249.8	6.1	-78.9	-179.7	114.9	2.87	7.66	11.01	403.18	6.719666666666667	43.29683265313764	80.95846938774261
449687	996.3	20.19	998.6	21.81	-8.1762	4.8183	-6.0777	-13.9	-249.8	-17.3	-64.5	-172.5	112.5	1.44	5.27	10.06	403.2	6.72	43.078710204157424	80.36556734692651
449707	996.3	20.19	998.7	21.81	-8.0996	4.8542	-5.3905	6.8	-249.3	-43.6	-42.9	-167.7	106.5	3.83	5.27	-1.44	403.22	6.7203333333333335	42.87234693885069	79.55387755100845
449727	997.4	20.19	998.8	21.81	-8.0074	4.8435	-4.7321	20.9	-232.5	-69.5	-26.1	-174.9	93.9	8.62	14.84	11.97	403.24	6.720666666666667	11.24986122455337	36.216734693869114
449747	996.5	20.19	998.8	21.81	-7.7943	4.7908	-3.8343	25.8	-214.2	-93.1	-14.1	-179.7	90.9	3.83	8.62	15.8	403.26	6.721	10.615432653123687	29.45102040815604
449767	997.0	20.19	998.7	21.81	-7.0832	4.6878	-3.1687	21.0	-196.6	-111.6	5.1	-155.7	91.5	-0.48	8.62	16.28	403.28000000000003	6.721333333333334	10.528934693939823	25.19102448978959
449787	996.3	20.19	999.4	21.81	-7.3681	4.8411	-2.4612	11.1	-178.9	-124.3	31.5	-150.9	90.3	6.22	7.18	11.49	403.3	6.721666666666667	10.29266938781682	23.99301632652458
449807	997.1	20.19	1000.0	21.81	-7.8673	4.7321	-2.32	-0.2	-161.0	-134.4	36.3	-117.3	74.1	5.27	6.22	4.31	403.32	6.7219999999999995	10.078567347000085	23.708444897953235
449827	996.3	20.19	998.9	21.81	-8.1558	4.4448	-2.0171	-9.8	-142.1	-143.7	50.7	-122.1	72.9	5.75	11.97	7.66	403.34000000000003	6.722333333333334	10.213163265368205	16.553016326525864
449847	996.2	20.19	998.2	21.81	-8.3917	4.1779	-1.7885	-19.6	-122.5	-150.7	50.7	-95.7	75.3	5.75	12.93	10.53	403.36	6.722666666666667	10.23233061230705	14.015677551016301
449867	995.7	20.19	998.4	21.81	-8.5844	3.9109	-1.8124	-28.2	-102.3	-154.2	60.3	-78.9	69.3	-0.48	12.45	18.2	403.38	6.723	9.786057142918308	13.971530612240798
449887	995.9	20.19	997.3	21.81	-9.0297	3.7026	-1.6245	-35.4	-81.2	-155.3	62.7	-62.1	68.7	3.35	9.58	11.97	403.40000000000003	6.723333333333334	8.660689795977753	14.231938775505924
449907	995.2	20.19	997.1	21.81	-9.3098	3.5913	-1.3731	-42.5	-59.3	-155.0	65.1	-47.7	68.1	-0.48	4.31	17.72	403.42	6.723666666666667	7.864085714343567	14.506938775505711
449927	996.0	20.19	997.5	21.81	-9.3757	3.3579	-1.1504	-47.7	-37.1	-151.6	69.9	-16.5	74.7	0.0	11.01	15.32	403.44	6.724	7.517959183730595	14.837453061219762
449947	994.7	20.19	997.0	21.81	-9.7659	2.8479	-0.7422	-49.3	-14.1	-143.1	77.1	-2.1	66.3	-0.96	8.62	11.01	403.46000000000004	6.724333333333334	7.2592857143420275	15.107269387749996
